DateTime,CLOSE
2013-07-04,2626.447
2013-07-05,2620.474
2013-07-08,2535.79
2013-07-09,2543.034
2013-07-10,2615.197
2013-07-11,2710.371
2013-07-12,2671.817
2013-07-15,2719.189
2013-07-16,2739.98
2013-07-17,2700.007
2013-07-18,2675.37
2013-07-19,2613.576
2013-07-22,2645.861
2013-07-23,2716.077
2013-07-24,2715.14
2013-07-25,2681.397
2013-07-26,2672.79
2013-07-29,2619.838
2013-07-30,2623.496
2013-07-31,2632.492
2013-08-01,2701.693
2013-08-02,2707.501
2013-08-05,2747.292
2013-08-06,2770.214
2013-08-07,2747.081
2013-08-08,2749.009
2013-08-09,2757.316
2013-08-12,2815.565
2013-08-13,2828.362
2013-08-14,2819.042
2013-08-15,2786.785
2013-08-16,2747.392
2013-08-19,2789.959
2013-08-20,2778.129
2013-08-21,2784.149
2013-08-22,2785.147
2013-08-23,2773.276
2013-08-26,2830.995
2013-08-27,2845.871
2013-08-28,2825.69
2013-08-29,2819.857
2013-08-30,2799.244
2013-09-02,2812.887
2013-09-03,2855.009
2013-09-04,2855.856
2013-09-05,2855.097
2013-09-06,2876.202
2013-09-09,2939.44
2013-09-10,2971.761
2013-09-11,2961.37
2013-09-12,2979.315
2013-09-13,2972.439
2013-09-16,2972.232
2013-09-17,2917.217
2013-09-18,2933.503
2013-09-23,2987.094
2013-09-24,2972.427
2013-09-25,2956.957
2013-09-26,2902.388
2013-09-27,2913.179
2013-09-30,2942.847
2013-10-08,2987.541
2013-10-09,3013.55
2013-10-10,2987.007
2013-10-11,3033.06
2013-10-14,3051.612
2013-10-15,3048.279
2013-10-16,2976.25
2013-10-17,2969.985
2013-10-18,2986.386
2013-10-21,3051.973
2013-10-22,3019.576
2013-10-23,2965.482
2013-10-24,2944.277
2013-10-25,2897.496
2013-10-28,2893.297
2013-10-29,2860.937
2013-10-30,2905.017
2013-10-31,2865.648
2013-11-01,2866.136
2013-11-04,2871.912
2013-11-05,2893.989
2013-11-06,2862.247
2013-11-07,2835.46
2013-11-08,2795.865
2013-11-11,2808.512
2013-11-12,2836.469
2013-11-13,2779.225
2013-11-14,2809.204
2013-11-15,2865.325
2013-11-18,2946.823
2013-11-19,2941.947
2013-11-20,2962.503
2013-11-21,2949.041
2013-11-22,2935.141
2013-11-25,2929.886
2013-11-26,2933.351
2013-11-27,2968.902
2013-11-28,2995.76
2013-11-29,3008.753
2013-12-02,2918.935
2013-12-03,2960.485
2013-12-04,3000.601
2013-12-05,2991.008
2013-12-06,2977.315
2013-12-09,2991.352
2013-12-10,2993.845
2013-12-11,2955.243
2013-12-12,2962.427
2013-12-13,2964.938
2013-12-16,2920.043
2013-12-17,2903.89
2013-12-18,2902.258
2013-12-19,2874.123
2013-12-20,2823.694
2013-12-23,2823.994
2013-12-24,2838.264
2013-12-25,2868.537
2013-12-26,2819.026
2013-12-27,2866.675
2013-12-30,2871.449
2013-12-31,2893.208
2014-01-02,2900.626
2014-01-03,2874.322
2014-01-06,2803.288
2014-01-07,2814.103
2014-01-08,2825.825
2014-01-09,2793.496
2014-01-10,2758.993
2014-01-13,2748.419
2014-01-14,2788.848
2014-01-15,2797.388
2014-01-16,2798.913
2014-01-17,2764.64
2014-01-20,2746.047
2014-01-21,2781.523
2014-01-22,2849.942
2014-01-23,2854.229
2014-01-24,2882.484
2014-01-27,2860.212
2014-01-28,2859.085
2014-01-29,2879.786
2014-01-30,2856.842
2014-02-07,2890.698
2014-02-10,2965.066
2014-02-11,2977.536
2014-02-12,2999.061
2014-02-13,2964.697
